deputat,partia,perc_for,votes_for,tvo,oblast,year
Сіленков Борис Віталійович , політична партія Єдиний Центр,9.99,9062,№184,Херсонська область,2012
Литвин Ігор Йосипович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",6.74,6113,№184,Херсонська область,2012
Діденко Сергій Володимирович , Народна Партія,1.64,1490,№184,Херсонська область,2012
Воличенко Роман Миколайович , самовисування,0.99,898,№184,Херсонська область,2012
Опанащенко Михайло Володимирович , Партія регіонів,25.31,23158,№185,Херсонська область,2012
Хлань Сергій Володимирович ," Партія Наталії Королевської ""Україна – Вперед!""",21.23,19422,№185,Херсонська область,2012
Ніколаєнко Станіслав Миколайович ," Партія ""Об’єднані ліві і селяни""",16.18,14808,№185,Херсонська область,2012
Тарановський Анатолій Федорович , Комуністична партія України,14.82,13561,№185,Херсонська область,2012
Пінаєв Олександр Вікторович , самовисування,8.3,7595,№185,Херсонська область,2012
Василенко Борис Олексійович ," політична партія Всеукраїнське об’єднання ""Свобода""",2.95,2703,№185,Херсонська область,2012
Ячменьов Володимир Миколайович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",2.94,2697,№185,Херсонська область,2012
Коваленко Едуард Володимирович ," Політична партія ""Соціал-Патріотична Асамблея Слов’ян""",1.77,1620,№185,Херсонська область,2012
Вєтрова Ірина Вікторівна , Соціалістична партія України,1.53,1406,№185,Херсонська область,2012
Бойко Володимир Михайлович , самовисування,1.32,1216,№185,Херсонська область,2012
Єрьоменко Олег Анатолійович , самовисування,1.29,1189,№185,Херсонська область,2012
Мартиненко Олег Анатолійович , самовисування,0.84,776,№185,Херсонська область,2012
Сопрун Сергій Іванович , самовисування,0.77,705,№185,Херсонська область,2012
Яковенко Андрій Олександрович , самовисування,0.67,620,№185,Херсонська область,2012
Негой Федір Федорович , самовисування,30.52,26833,№186,Херсонська область,2012
Журавко Олексій Валерійович , Партія регіонів,21.92,19270,№186,Херсонська область,2012
Самойлик Катерина Семенівна , Комуністична партія України,21.77,19137,№186,Херсонська область,2012
Гончарський Іван Львович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",12.23,10757,№186,Херсонська область,2012
Твердовський Олександр Миколайович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",5.13,4513,№186,Херсонська область,2012
Халупенко Денис Миколайович ," Партія Наталії Королевської ""Україна – Вперед!""",4.14,3646,№186,Херсонська область,2012
Фролов Олексій Володимирович , Партія Зелених України,2.58,2268,№186,Херсонська область,2012
Реуцький Іван Васильович , політична партія Конгрес Українських Націоналістів,0.99,871,№186,Херсонська область,2012
Сергеєв Сергій Олександрович , самовисування,0.67,596,№186,Херсонська область,2012
Лукашук Олег Григорович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",40.34,35332,№187,Хмельницька область,2012
Слободян Олександр В’ячеславович , самовисування,28.26,24758,№187,Хмельницька область,2012
Янчук Микола Андрійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",15.73,13778,№187,Хмельницька область,2012
Мельник Дмитро Лукіч , Комуністична партія України,6.89,6041,№187,Хмельницька область,2012
Кабачинська Світлана Іллівна , самовисування,3.89,3415,№187,Хмельницька область,2012
Дейнека Олег Володимирович , самовисування,2.68,2352,№187,Хмельницька область,2012
Хижняк Сергій Юрійович , Партія Пенсіонерів України,1.2,1053,№187,Хмельницька область,2012
Бойченко Ігор Петрович , самовисування,0.97,853,№187,Хмельницька область,2012
Лабазюк Сергій Петрович , самовисування,28.39,26537,№188,Хмельницька область,2012
Коліщак Віктор Михайлович , самовисування,27.89,26068,№188,Хмельницька область,2012
Беспалов Дмитро Анатолійович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",20.78,19419,№188,Хмельницька область,2012
Мовчан Віталій Андрійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",10.58,9890,№188,Хмельницька область,2012
Гуцул Іван Володимирович , самовисування,3.35,3131,№188,Хмельницька область,2012
Плюта Вадим Олександрович , Партія регіонів,1.98,1857,№188,Хмельницька область,2012
Туркот Микола Петрович , Комуністична партія України,1.88,1762,№188,Хмельницька область,2012
Кліщ Віктор Васильович , самовисування,1.19,1117,№188,Хмельницька область,2012
Кушнір Віктор Миколайович , самовисування,0.78,732,№188,Хмельницька область,2012
Теленько Богдан Петрович , самовисування,0.72,680,№188,Хмельницька область,2012
Божук Олександр Миколайович , самовисування,0.55,518,№188,Хмельницька область,2012
Шемчук Олександр Олександрович ," Партія Наталії Королевської ""Україна – Вперед!""",0.53,498,№188,Хмельницька область,2012
Співачук Вадим Володимирович , самовисування,0.45,421,№188,Хмельницька область,2012
Мазуренко Андрій Вікторович , самовисування,0.39,368,№188,Хмельницька область,2012
Шевчук Анатолій Петрович , самовисування,0.32,301,№188,Хмельницька область,2012
Селіфонтьєв Сергій Іванович , Патріотична партія України,0.15,149,№188,Хмельницька область,2012
Сабій Ігор Михайлович ," політична партія Всеукраїнське об’єднання ""Свобода""",19.39,18509,№189,Хмельницька область,2012
Олуйко Віталій Миколайович , Партія регіонів,18.61,17766,№189,Хмельницька область,2012
Буханевич Олександр Миколайович , самовисування,17.28,16488,№189,Хмельницька область,2012
Шуляк Василь Корнійович , самовисування,13.9,13267,№189,Хмельницька область,2012
Омельчук Ольга Іванівна , самовисування,8.62,8229,№189,Хмельницька область,2012
Артемчук Анатолій Володимирович , самовисування,7.03,6713,№189,Хмельницька область,2012
Яцков Борис Олександрович , самовисування,4.31,4121,№189,Хмельницька область,2012
Глушаков Олексій Олександрович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",3.98,3798,№189,Хмельницька область,2012
Лісовик Володимир Олексійович , Комуністична партія України,2.33,2227,№189,Хмельницька область,2012
Побережний Анатолій Іванович , самовисування,1.74,1668,№189,Хмельницька область,2012
Нечипорук Володимир Павлович , самовисування,1.17,1122,№189,Хмельницька область,2012
Ткачук Ігор Васильович , самовисування,0.71,686,№189,Хмельницька область,2012
Шинкарук Володимир Володимирович , самовисування,0.59,569,№189,Хмельницька область,2012
Злакоман Сергій Леонідович , самовисування,0.26,252,№189,Хмельницька область,2012
Буряк Сергій Васильович , самовисування,42.65,36330,№190,Хмельницька область,2012
Сидор Василь Богданович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",38.94,33176,№190,Хмельницька область,2012
Побережна Анна Валеріївна ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",6.46,5507,№190,Хмельницька область,2012
Нагорна Віра Микитівна , Соціалістична партія України,3.86,3293,№190,Хмельницька область,2012
Дем’янов Анатолій Анатолійович , Комуністична партія України,3.61,3075,№190,Хмельницька область,2012
Герасименко Олена Михайлівна , Партія регіонів,2.21,1888,№190,Хмельницька область,2012
Барабаш Віктор Васильович , самовисування,1.88,1606,№190,Хмельницька область,2012
Халілов Рафаел Муршудович , Партія Пенсіонерів України,0.35,303,№190,Хмельницька область,2012
Бондар Віктор Васильович , самовисування,25.4,22449,№191,Хмельницька область,2012
Дерикот Микола Васильович , Партія регіонів,20.74,18332,№191,Хмельницька область,2012
Мурза Валерій Григорович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",20.26,17912,№191,Хмельницька область,2012
Шпак Василь Федорович , Народна Партія,10.72,9478,№191,Хмельницька область,2012
Гнатюк Микола Григорович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",8.84,7815,№191,Хмельницька область,2012
Корнійчук Ігор Володимирович , Комуністична партія України,4.08,3613,№191,Хмельницька область,2012
Шпак Василь Володимирович , самовисування,3.46,3065,№191,Хмельницька область,2012
Чиж Іван Сергійович , самовисування,2.49,2202,№191,Хмельницька область,2012
Бондар Віктор Григорович , самовисування,2.41,2135,№191,Хмельницька область,2012
Слободянюк Віталій Борисович , самовисування,1.23,1087,№191,Хмельницька область,2012
Притула Михайло Михайлович , Політична партія малого і середнього бізнесу України,0.31,281,№191,Хмельницька область,2012
Герега Олександр Володимирович , самовисування,58.04,56379,№192,Хмельницька область,2012
Мусій Мирослав Ярославович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",17.38,16885,№192,Хмельницька область,2012
Вінський Йосип Вікентійович , самовисування,11.22,10902,№192,Хмельницька область,2012
Купчик Олег Леонідович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",6.02,5856,№192,Хмельницька область,2012
Браславець Ольга Василівна ," політична партія ""Наша Україна""",2.4,2339,№192,Хмельницька область,2012
Орлов Володимир Іванович , Комуністична партія України,1.86,1809,№192,Хмельницька область,2012
Пятак Галина Василівна , Партія регіонів,1.28,1249,№192,Хмельницька область,2012
Довгань Валерій Іванович , самовисування,0.93,907,№192,Хмельницька область,2012
Свято Василь Петрович , самовисування,0.83,812,№192,Хмельницька область,2012
Мельниченко Володимир Володимирович , самовисування,44.2,39860,№193,Хмельницька область,2012
Ярема Ростислав Тарасович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",35.34,31868,№193,Хмельницька область,2012
Товкайло Василь Тихонович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",7.8,7035,№193,Хмельницька область,2012
Шовкошитний Володимир Федорович , Українська Народна Партія,5.21,4699,№193,Хмельницька область,2012
Приступа Петро Адольфович , Комуністична партія України,3.52,3181,№193,Хмельницька область,2012
Ковальчук Василь Іванович , самовисування,2.08,1884,№193,Хмельницька область,2012
Білик Руслан Григорович ," Партія Наталії Королевської ""Україна – Вперед!""",1.29,1165,№193,Хмельницька область,2012
Буденко Вячеслав Євгенійович ," Партія ""Громадянська солідарність""",0.53,481,№193,Хмельницька область,2012
Булатецький Микола Іванович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",40.79,32554,№194,Черкаська область,2012
Жуковська Валентина Борисівна , самовисування,25.29,20181,№194,Черкаська область,2012
Кондратенко Андрій Олександрович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",11.45,9138,№194,Черкаська область,2012
Білоусов Віктор Федорович , Комуністична партія України,8.45,6747,№194,Черкаська область,2012
Парамонов Віктор Володимирович , Партія регіонів,5.53,4418,№194,Черкаська область,2012
Трофімова Світлана Владиславівна , самовисування,3.51,2807,№194,Черкаська область,2012
Майборода Любов Володимирівна , самовисування,3.42,2731,№194,Черкаська область,2012
Отрешко Сергій Володимирович , самовисування,1.53,1222,№194,Черкаська область,2012
Зубик Володимир Володимирович , самовисування,43.8,40912,№195,Черкаська область,2012
Гресь Володимир Анатолійович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",31.77,29680,№195,Черкаська область,2012
Чуприна Олександр Олександрович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",10.15,9487,№195,Черкаська область,2012
Малий Олег Георгійович , Комуністична партія України,3.64,3405,№195,Черкаська область,2012
Радуцький Олександр Романович , Соціалістична партія України,2.74,2562,№195,Черкаська область,2012
Островський Олег Анатолійович , самовисування,2.22,2075,№195,Черкаська область,2012
Кравченко Наталія Іванівна , самовисування,1.94,1815,№195,Черкаська область,2012
Згура Віталій Олександрович , самовисування,1.11,1040,№195,Черкаська область,2012
Гвоздь Микола Гаврилович , самовисування,0.72,674,№195,Черкаська область,2012
Гришкін Олександр Петрович , самовисування,0.66,625,№195,Черкаська область,2012
Пацьора Михайло Іванович ," партія Політичне об’єднання ""Рідна Вітчизна""",0.46,430,№195,Черкаська область,2012
Вчорашній Павло Юрійович , самовисування,0.39,371,№195,Черкаська область,2012
Гавриленко Володимир Іванович , самовисування,0.33,317,№195,Черкаська область,2012
Бобов Геннадій Борисович , Партія регіонів,42.73,39535,№196,Черкаська область,2012
Сінгаєвський Олександр Миколайович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",31.59,29228,№196,Черкаська область,2012
Маштепа Олександр Петрович , самовисування,9.08,8406,№196,Черкаська область,2012
Ляшенко Юрій Васильович , Соціалістична партія України,6.37,5897,№196,Черкаська область,2012
Педченко Сергій Іванович , Комуністична партія України,2.91,2699,№196,Черкаська область,2012
Алєксєєва Ірина Володимирівна , самовисування,1.24,1156,№196,Черкаська область,2012
Блажевич Сергій Петрович ," Партія Наталії Королевської ""Україна – Вперед!""",1.19,1106,№196,Черкаська область,2012
Яременко Алла Миколаївна , самовисування,1.01,937,№196,Черкаська область,2012
Величенко Микола Максимович , самовисування,0.91,844,№196,Черкаська область,2012
Лішавський Володимир Гаврилович , самовисування,0.7,651,№196,Черкаська область,2012
Пономаренко Інна Віталіївна , самовисування,0.69,647,№196,Черкаська область,2012
Плосконос Олексій Олександрович , самовисування,0.58,540,№196,Черкаська область,2012
Кекух Віталій Володимирович , самовисування,0.56,527,№196,Черкаська область,2012
Блажевич Олександр Петрович , самовисування,0.36,339,№196,Черкаська область,2012
Губський Богдан Володимирович , самовисування,35.65,29084,№197,Черкаська область,2012
Даценко Леонід Миколайович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",31.82,25961,№197,Черкаська область,2012
Корж Віктор Петрович , Партія регіонів,11.37,9275,№197,Черкаська область,2012
Філіпенко Павло Сергійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",7.04,5744,№197,Черкаська область,2012
Костогриз Іван Іванович , Комуністична партія України,3.64,2971,№197,Черкаська область,2012
Кібальник Олексій Павлович , самовисування,2.68,2194,№197,Черкаська область,2012
Вовк Віктор Іванович , самовисування,1.48,1209,№197,Черкаська область,2012
Полях Віталій Іванович , самовисування,1.27,1043,№197,Черкаська область,2012
Малиновський Олексій Петрович , Соціалістична партія України,0.96,791,№197,Черкаська область,2012
Довгаль Сергій Миколайович , самовисування,0.77,632,№197,Черкаська область,2012
Дарійчук Дарина Володимирівна , самовисування,0.76,624,№197,Черкаська область,2012
Матюша Володимир Миколайович , самовисування,0.36,301,№197,Черкаська область,2012
Орленко Віктор Юрійович , самовисування,0.33,272,№197,Черкаська область,2012
Фесенко Руслан Сергійович ," партія Політичне об’єднання ""Рідна Вітчизна""",0.32,266,№197,Черкаська область,2012
Педченко Михайло Вікторович , самовисування,0.3,250,№197,Черкаська область,2012
Корчовий Юрій Олександрович , самовисування,0.26,219,№197,Черкаська область,2012
Свічинський Василь Миколайович , самовисування,0.25,207,№197,Черкаська область,2012
Замідра Сергій Володимирович , самовисування,0.23,189,№197,Черкаська область,2012
Липкань Микола Борисович , самовисування,0.23,188,№197,Черкаська область,2012
Маліков Олександр Володимирович , самовисування,0.17,143,№197,Черкаська область,2012
Тимошенко Віктор Анатолійович , самовисування,29.4,25061,№198,Черкаська область,2012
Рудик Сергій Ярославович ," політична партія Всеукраїнське об’єднання ""Свобода""",20.51,17486,№198,Черкаська область,2012
Решетняк Вадим Володимирович , самовисування,19.98,17030,№198,Черкаська область,2012
Семинога Анатолій Іванович , самовисування,8.28,7057,№198,Черкаська область,2012
Давиденко Олексій Григорович , самовисування,5.64,4807,№198,Черкаська область,2012
Колесник Андрій Валерійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",4.91,4189,№198,Черкаська область,2012
Нікітченко Ольга Петрівна , Комуністична партія України,2.51,2145,№198,Черкаська область,2012
Василина Роман Петрович , самовисування,2.22,1900,№198,Черкаська область,2012
Запорожець Володимир Олексійович , Соціалістична партія України,1.33,1135,№198,Черкаська область,2012
Таран Сергій Миколайович ," Політична партія Українська платформа ""СОБОР""",1.31,1118,№198,Черкаська область,2012
Савченко Ігор Васильович , Партія регіонів,1.02,872,№198,Черкаська область,2012
Чекаленко Ігор Миколайович ," Політична партія ""НОВА ПОЛІТИКА""",0.83,714,№198,Черкаська область,2012
Харламов Олександр Володимирович , самовисування,0.47,405,№198,Черкаська область,2012
Палютін Пилип Юрійович ," Партія Наталії Королевської ""Україна – Вперед!""",0.38,328,№198,Черкаська область,2012
Макуха Роман Васильович , самовисування,0.26,229,№198,Черкаська область,2012
Курудз Богдан Михайлович , самовисування,0.26,223,№198,Черкаська область,2012
Цоньо Віктор Михайлович , самовисування,0.24,209,№198,Черкаська область,2012
Чегровой Максим Павлович , самовисування,0.18,158,№198,Черкаська область,2012
Логін Петро Зіновійович , самовисування,0.17,149,№198,Черкаська область,2012
Ничипоренко Валентин Миколайович , самовисування,28.74,25920,№199,Черкаська область,2012
Бондаренко Анатолій Васильович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",26.02,23464,№199,Черкаська область,2012
Терещук Сергій Миколайович , самовисування,12.59,11357,№199,Черкаська область,2012
Фурман Василь Миколайович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",11.97,10797,№199,Черкаська область,2012
Якібчук Мирослав Ілліч , самовисування,5.66,5106,№199,Черкаська область,2012
Єлізаров Павло Олександрович , самовисування,5.26,4745,№199,Черкаська область,2012
Гречаний Борис Павлович , Комуністична партія України,2.88,2603,№199,Черкаська область,2012
Нечипоренко Анатолій Олексійович , самовисування,2.22,2003,№199,Черкаська область,2012
Гвоздь Віктор Михайлович , Партія регіонів,1.65,1492,№199,Черкаська область,2012
Бабенко Руслан Володимирович , Радикальна Партія Олега Ляшка,1.34,1216,№199,Черкаська область,2012
Рибченко Олександр Володимирович , самовисування,0.81,732,№199,Черкаська область,2012
Ружин Зоя Володимирівна , самовисування,0.43,396,№199,Черкаська область,2012
Доманський Ігор Ростиславович , самовисування,0.38,345,№199,Черкаська область,2012
Яценко Антон Володимирович , Партія регіонів,29.9,29959,№200,Черкаська область,2012
Наконечний Микола Петрович , політична партія Єдиний Центр,22.79,22833,№200,Черкаська область,2012
Поляков Максим Анатолійович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",17.96,17997,№200,Черкаська область,2012
Дикун Андрій Євгенович , самовисування,11.18,11201,№200,Черкаська область,2012
Костенко Павло Іванович , самовисування,8.7,8716,№200,Черкаська область,2012
Кучер Галина Михайлівна , Народна Партія,3.75,3765,№200,Черкаська область,2012
Роєнко Віктор Григорович , Комуністична партія України,2.88,2888,№200,Черкаська область,2012
Хмельницький Богдан Станіславович , самовисування,0.93,941,№200,Черкаська область,2012
Ващенок Вадим Володимирович , самовисування,0.68,689,№200,Черкаська область,2012
Ратушний Микола Семенович , Радикальна Партія Олега Ляшка,0.67,680,№200,Черкаська область,2012
Карчевська Алла Олександрівна ," Українська партія ""Зелена планета""",0.36,367,№200,Черкаська область,2012
Гнатовський Володимир Євгенійович , самовисування,0.14,143,№200,Черкаська область,2012
Федорук Микола Трохимович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",52.04,52901,№201,Чернівецька область,2012
Михайлішин Віталій Михайлович , Партія регіонів,33.91,34472,№201,Чернівецька область,2012
Марараш Галина Григорівна ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",6.54,6656,№201,Чернівецька область,2012
Бачинський Віктор Теодосович , Народна Партія,2.37,2413,№201,Чернівецька область,2012
Бордіян Іван Порфирович , Комуністична партія України,2.01,2050,№201,Чернівецька область,2012
Струк Юлія Іванівна , самовисування,0.59,607,№201,Чернівецька область,2012
Довганич Віктор Михайлович , самовисування,0.56,570,№201,Чернівецька область,2012
Нейландт Геннадій Робертович ," Політична партія ""Мерітократична партія України""",0.55,565,№201,Чернівецька область,2012
Шевчук Андрій Георгійович ," Партія Наталії Королевської ""Україна – Вперед!""",0.51,526,№201,Чернівецька область,2012
Казимирчук Олександр Михайлович , Українська Народна Партія,0.44,448,№201,Чернівецька область,2012
Кедь Володимир Євгенович , самовисування,0.26,270,№201,Чернівецька область,2012
Кузнєцов Георгій Васильович ," Політична партія ""НОВА ПОЛІТИКА""",0.15,162,№201,Чернівецька область,2012
Фищук Олександр Георгійович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",40.31,39540,№202,Чернівецька область,2012
Бауер Михайло Йозефович , Партія регіонів,26.42,25915,№202,Чернівецька область,2012
Рибак Іван Петрович , самовисування,14.53,14258,№202,Чернівецька область,2012
Назаренко Клавдія Дмитрівна ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",6.28,6162,№202,Чернівецька область,2012
Любимський Василь Олексійович , самовисування,3.49,3430,№202,Чернівецька область,2012
Баскевич Ігор Володимирович , самовисування,2.28,2243,№202,Чернівецька область,2012
Серецький Михайло Миколайович , Народна Партія,1.82,1788,№202,Чернівецька область,2012
Швигар Леонід Володимирович , Комуністична партія України,1.6,1575,№202,Чернівецька область,2012
Манчуленко Георгій Манолійович ," Політична партія Українська платформа ""СОБОР""",1.22,1205,№202,Чернівецька область,2012
Лисюк Олександр Михайлович , самовисування,1.2,1186,№202,Чернівецька область,2012
Токарюк Володимир Семенович , самовисування,0.79,784,№202,Чернівецька область,2012
Федоряк Геннадій Дмитрович , Партія регіонів,51.73,49823,№203,Чернівецька область,2012
Тіміш Григорій Іванович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",13.64,13138,№203,Чернівецька область,2012
Спіжавка Степан Георгійович ," політична партія Всеукраїнське об’єднання ""Свобода""",7.24,6977,№203,Чернівецька область,2012
Мельник Руслан Васильович , самовисування,6.2,5973,№203,Чернівецька область,2012
Панчук Петро Володимирович , самовисування,4.48,4318,№203,Чернівецька область,2012
Паламар Іван Савич , самовисування,4.31,4154,№203,Чернівецька область,2012
Вікнянський Олег Іванович , самовисування,3.57,3440,№203,Чернівецька область,2012
Говорнян Семен Володимирович , Комуністична партія України,3.54,3417,№203,Чернівецька область,2012
Левчик Юрій Серафимович ," Партія Наталії Королевської ""Україна – Вперед!""",2.01,1944,№203,Чернівецька область,2012
Кучерявий Валерій Сергійович , Соціалістична партія України,1.87,1804,№203,Чернівецька область,2012
Данчук Валерій Георгійович , самовисування,1.36,1313,№203,Чернівецька область,2012
Семенюк Артем Олексійович , Партія регіонів,57.54,62287,№204,Чернівецька область,2012
Баласинович Богдан Олександрович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",14.43,15625,№204,Чернівецька область,2012
Панчишин Руслан Ігорович , самовисування,8.41,9105,№204,Чернівецька область,2012
Каденюк Леонід Костянтинович , самовисування,8.03,8701,№204,Чернівецька область,2012
Криворучко Віталій Пилипович , самовисування,2.7,2928,№204,Чернівецька область,2012
Плаксій Манолій Васильович , самовисування,2.39,2588,№204,Чернівецька область,2012
Черненко Віктор Михайлович , Комуністична партія України,1.63,1771,№204,Чернівецька область,2012
Гончар Віктор Васильович , самовисування,1.36,1477,№204,Чернівецька область,2012
Совва Анатолій Ігорович , самовисування,1.01,1101,№204,Чернівецька область,2012
Клевчик Іван Валентинович , політична партія Конгрес Українських Націоналістів,0.94,1027,№204,Чернівецька область,2012
Швець Сергій Сергійович ," Партія Наталії Королевської ""Україна – Вперед!""",0.88,960,№204,Чернівецька область,2012
Чулей Віталій Михайлович , самовисування,0.62,679,№204,Чернівецька область,2012
Дубіль Валерій Олександрович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",50.2,43857,№205,Чернігівська область,2012
Соколов Олександр Володимирович , Партія регіонів,28.11,24566,№205,Чернігівська область,2012
Осадців Іван Васильович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",8.42,7361,№205,Чернігівська область,2012
Давлеткужин Роман Рашитович , Комуністична партія України,6.58,5750,№205,Чернігівська область,2012
Мозговий Віктор Іванович ," ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНА МАЙБУТНЬОГО""",1.22,1066,№205,Чернігівська область,2012
Глаба Андрій Володимирович , самовисування,1.05,920,№205,Чернігівська область,2012
Андрійченко Володимир Леонідович , самовисування,0.96,847,№205,Чернігівська область,2012
Варнакова Олена Юріївна ," Партія Наталії Королевської ""Україна – Вперед!""",0.92,809,№205,Чернігівська область,2012
Баскакова Юлія Віталіївна ," Партія ""Солідарність жінок України""",0.73,644,№205,Чернігівська область,2012
Маневич Олексій Робертович , самовисування,0.42,367,№205,Чернігівська область,2012
Большаков Павло Валерійович , самовисування,0.41,364,№205,Чернігівська область,2012
Живенко Світлана Віталіївна , самовисування,0.36,321,№205,Чернігівська область,2012
Непомняща Любов Миколаївна , самовисування,0.3,268,№205,Чернігівська область,2012
Раткіна Ірина Віталіївна , самовисування,0.25,224,№205,Чернігівська область,2012
Атрошенко Владислав Анатолійович , самовисування,40.63,35894,№206,Чернігівська область,2012
Прокопенко Станіслав Миколайович , Партія регіонів,19.52,17244,№206,Чернігівська область,2012
Поліщук Володимир Андрійович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",17.71,15647,№206,Чернігівська область,2012
Попова Олена Михайлівна ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",6.69,5909,№206,Чернігівська область,2012
Ясочко Раїса Костянтинівна , Комуністична партія України,6.32,5584,№206,Чернігівська область,2012
Купрієнко Олег Васильович , Радикальна Партія Олега Ляшка,2.95,2612,№206,Чернігівська область,2012
Атрощенко Андрій Петрович , самовисування,2.66,2356,№206,Чернігівська область,2012
Ерістова Ірина Леонідівна ," Партія Наталії Королевської ""Україна – Вперед!""",1.0,886,№206,Чернігівська область,2012
Рябченко Валерій Миколайович , політична партія Конгрес Українських Націоналістів,0.49,438,№206,Чернігівська область,2012
Кириченко Олександр Володимирович , Народна Партія,0.44,395,№206,Чернігівська область,2012
Прохорський Олександр Леонідович ," Партія ""За Права Людини""",0.39,352,№206,Чернігівська область,2012
