deputat,partia,perc_for,votes_for,tvo,oblast,year
Мінчев Костянтин Петрович ," Політична партія ""Держава""",0.26,177,№5,Автономна Республіка Крим,2012
Льовочкіна Юлія Володимирівна , Партія регіонів,60.01,41762,№6,Автономна Республіка Крим,2012
Жадов Юрій Дмитрович , Комуністична партія України,10.96,7633,№6,Автономна Республіка Крим,2012
Чорний Петро Володимирович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",8.68,6041,№6,Автономна Республіка Крим,2012
Кулак Костянтин Васильович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",4.24,2952,№6,Автономна Республіка Крим,2012
Шувайников Сергій Іванович ," Політична партія ""Руська Єдність""",4.11,2863,№6,Автономна Республіка Крим,2012
Самадінов Алмір Шевкетович , самовисування,2.12,1479,№6,Автономна Республіка Крим,2012
Антілогов Віктор Миколайович , самовисування,1.4,978,№6,Автономна Республіка Крим,2012
Мокренюк Сергій Миколайович , Народна Партія,1.1,772,№6,Автономна Республіка Крим,2012
Вербов Андрій Олександрович ," Політична партія ""НОВА ПОЛІТИКА""",1.02,710,№6,Автономна Республіка Крим,2012
Букін Денис Олександрович ," Партія ""Віче""",1.01,706,№6,Автономна Республіка Крим,2012
Татарінов Юрій Анатолійович ," Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""",1.0,700,№6,Автономна Республіка Крим,2012
Гончаренко Андрій Андрійович ," Українська партія ""Зелена планета""",0.78,546,№6,Автономна Республіка Крим,2012
Банников Олександр Геннадійович , Партія Зелених України,0.77,540,№6,Автономна Республіка Крим,2012
Купчишина Діна Леонідівна ," Партія ""Об’єднані ліві і селяни""",0.62,436,№6,Автономна Республіка Крим,2012
Погребняк Ігор Анатолійович ," Політична партія ""Зелені""",0.59,411,№6,Автономна Республіка Крим,2012
Харін Олександр Васильович , Українська морська партія,0.56,390,№6,Автономна Республіка Крим,2012
Ткачук Сергій Васильович , самовисування,0.52,365,№6,Автономна Республіка Крим,2012
Меньщиков Сергій Олександрович ," Політична партія ""Держава""",0.44,307,№6,Автономна Республіка Крим,2012
Брайко Сергій Борисович , Партія регіонів,52.21,32366,№7,Автономна Республіка Крим,2012
Рафалович Віктор Павлович , Комуністична партія України,12.58,7800,№7,Автономна Республіка Крим,2012
Формус Юрій Віталійович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",9.48,5877,№7,Автономна Республіка Крим,2012
Хворов Сергій Володимирович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",6.19,3837,№7,Автономна Республіка Крим,2012
Тараненко Григорій Леонідович , самовисування,3.65,2267,№7,Автономна Республіка Крим,2012
Яковенко Олексій Вікторович ," Партія ""Союз""",3.02,1874,№7,Автономна Республіка Крим,2012
Романюк Ігор Анатолійович ," Партія Наталії Королевської ""Україна – Вперед!""",1.79,1114,№7,Автономна Республіка Крим,2012
Красненков Яків Олександрович ," Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""",1.57,977,№7,Автономна Республіка Крим,2012
Яворський Віталій Миколайович ," Політична партія ""Зелені""",1.51,942,№7,Автономна Республіка Крим,2012
Чайка Дмитро Іванович , Партія Зелених України,1.48,920,№7,Автономна Республіка Крим,2012
Зорін Ігор Володимирович ," Українська партія ""Зелена планета""",1.23,765,№7,Автономна Республіка Крим,2012
Бондаренко Максим Олексійович , Народна Партія,1.2,750,№7,Автономна Республіка Крим,2012
Балмашнов Михайло Юрійович ," Політична партія ""Народна ініціатива""",1.19,741,№7,Автономна Республіка Крим,2012
Карапетров Андрій Миколайович ," Партія ""Віче""",0.79,494,№7,Автономна Республіка Крим,2012
Хоруженко Максим Сергійович , Українська морська партія,0.57,359,№7,Автономна Республіка Крим,2012
Сальков Данило Володимирович ," Політична партія ""НОВА ПОЛІТИКА""",0.5,315,№7,Автономна Республіка Крим,2012
Дорофєєв Ігор Іванович ," Партія ""Об’єднані ліві і селяни""",0.49,309,№7,Автономна Республіка Крим,2012
Агальцов-Новохатський Анатолій Андрійович ," Політична партія ""Держава""",0.45,280,№7,Автономна Республіка Крим,2012
Дейч Борис Давидович , Партія регіонів,62.42,46734,№8,Автономна Республіка Крим,2012
Барієв Ескендер Енверович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",15.87,11882,№8,Автономна Республіка Крим,2012
Івашина Роксолана Ігорівна , Комуністична партія України,8.11,6072,№8,Автономна Республіка Крим,2012
Хомутов Віталій Миколайович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",4.33,3249,№8,Автономна Республіка Крим,2012
Німетуллаєв Едем Рідванович ," Партія Наталії Королевської ""Україна – Вперед!""",2.06,1546,№8,Автономна Республіка Крим,2012
