deputat,partia,perc_for,votes_for,year,tvo,oblast
Кучер Тетяна Михайлівна , Радикальна Партія Олега Ляшка,2.58,2427,2014,№21,Волинська область
Івасюк Валерій Петрович , самовисування,2.11,1989,2014,№21,Волинська область
Кононович Олександр Адамович , Комуністична партія України,0.68,646,2014,№21,Волинська область
Скальський Микола Валерійович ," ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ""",0.6,569,2014,№21,Волинська область
Лапін Ігор Олександрович ," Політична партія ""НАРОДНИЙ ФРОНТ""",24.24,24245,2014,№22,Волинська область
Констанкевич Ірина Мирославівна , самовисування,24.21,24217,2014,№22,Волинська область
Іванюк Роман Олегович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",10.93,10940,2014,№22,Волинська область
Данильчук Павло Петрович , самовисування,8.36,8368,2014,№22,Волинська область
Пустовіт Григорій Олександрович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",7.18,7182,2014,№22,Волинська область
Пирожик Олександр Веніамінович , самовисування,7.01,7017,2014,№22,Волинська область
Рицко Ігор Йосипович , самовисування,5.2,5202,2014,№22,Волинська область
Кривицький Антон Федорович , самовисування,3.45,3457,2014,№22,Волинська область
Грицюк Анатолій Петрович , самовисування,2.65,2651,2014,№22,Волинська область
Петрочук Костянтин Павлович , Радикальна Партія Олега Ляшка,2.19,2198,2014,№22,Волинська область
Бондарук Роман Анатолійович , самовисування,1.38,1384,2014,№22,Волинська область
Кожевніков Геннадій Геннадійович ," Політична партія Українська платформа ""СОБОР""",1.17,1172,2014,№22,Волинська область
Пащук Віктор Михайлович , Комуністична партія України,1.13,1134,2014,№22,Волинська область
Поліщук Роман Вікторович ," ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ""",0.7,703,2014,№22,Волинська область
Щуцький Олександр Геннадійович , самовисування,0.13,139,2014,№22,Волинська область
Єремеєв Ігор Миронович , самовисування,40.9,41988,2014,№23,Волинська область
Кирда Людмила Федорівна ," політична партія Всеукраїнське об’єднання ""Батьківщина""",22.17,22760,2014,№23,Волинська область
Веніславський Федір Володимирович , самовисування,12.88,13228,2014,№23,Волинська область
Ляшко Роман Сергійович , Радикальна Партія Олега Ляшка,8.18,8401,2014,№23,Волинська область
Савчук Олександр Іванович , самовисування,4.68,4810,2014,№23,Волинська область
Байцим Василь Федорович , Партія Зелених України,2.26,2322,2014,№23,Волинська область
Дмитрук Юрій Олександрович , Комуністична партія України,1.97,2032,2014,№23,Волинська область
Кулачек Юрій Миколайович , самовисування,1.93,1985,2014,№23,Волинська область
Ткач Сергій Васильович ," ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ""",1.73,1779,2014,№23,Волинська область
Забокрицький Павло Сергійович , самовисування,1.23,1264,2014,№23,Волинська область
Савич Дмитро Миколайович , самовисування,1.02,1049,2014,№23,Волинська область
Мєдвєдєв Анатолій Олександрович , самовисування,1.01,1040,2014,№23,Волинська область
Безбах Яків Якович , самовисування,30.9,20399,2014,№24,Дніпропетровська область
Шикуленко Олександр Віталійович ," Політична партія ""НАРОДНИЙ ФРОНТ""",19.67,12986,2014,№24,Дніпропетровська область
Гетьман Вадим Анатолійович , самовисування,15.76,10407,2014,№24,Дніпропетровська область
Ікол Володимир Григорович ," Політична партія ""Опозиційний блок""",8.7,5743,2014,№24,Дніпропетровська область
Кондаков Андрій Миколайович , Радикальна Партія Олега Ляшка,5.79,3826,2014,№24,Дніпропетровська область
Костюченко Андрій Сергійович , самовисування,5.7,3764,2014,№24,Дніпропетровська область
Убогов Валерій Леонідович , Комуністична партія України,4.42,2923,2014,№24,Дніпропетровська область
Краснобріжий Павло Сергійович ," Партія Сергія Тігіпка ""Сильна Україна""",4.05,2673,2014,№24,Дніпропетровська область
Мороз Олександр Григорович ," ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП""",3.43,2270,2014,№24,Дніпропетровська область
Васючков Іван Олександрович ," Політична партія ""Сила Людей""",1.52,1004,2014,№24,Дніпропетровська область
Курячий Максим Павлович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",27.9,17887,2014,№25,Дніпропетровська область
Краснов Загід Геннадійович ," Партія ""Громадська сила""",27.21,17446,2014,№25,Дніпропетровська область
Котов Владислав Володимирович ," Політична партія ""НАРОДНИЙ ФРОНТ""",8.98,5759,2014,№25,Дніпропетровська область
Гордієнко Олександр Володимирович ," Політична партія ""Опозиційний блок""",8.69,5573,2014,№25,Дніпропетровська область
Циркін Ігор Маркович , самовисування,7.49,4808,2014,№25,Дніпропетровська область
Яковенко Володимир Іванович , самовисування,4.75,3050,2014,№25,Дніпропетровська область
Руденко Олександр Олександрович , самовисування,3.91,2510,2014,№25,Дніпропетровська область
Горник Андрій Володимирович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",3.68,2365,2014,№25,Дніпропетровська область
Волокітіна Наталія Юріївна , Радикальна Партія Олега Ляшка,3.04,1955,2014,№25,Дніпропетровська область
Усольцев Сергій Олександрович , самовисування,1.52,976,2014,№25,Дніпропетровська область
Вороной Денис Леонідович , самовисування,1.18,761,2014,№25,Дніпропетровська область
Руденко Ігор Іванович , самовисування,0.9,583,2014,№25,Дніпропетровська область
Джума Вадим Петрович ," Політична партія ""Республіканська партія ""Славутич""",0.68,437,2014,№25,Дніпропетровська область
Денисенко Андрій Сергійович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",36.18,22798,2014,№26,Дніпропетровська область
Власова Наталія Федорівна ," Політична партія ""Опозиційний блок""",25.62,16146,2014,№26,Дніпропетровська область
Лінчевський Ігор Вячеславович ," Політична партія ""НАРОДНИЙ ФРОНТ""",9.69,6105,2014,№26,Дніпропетровська область
Чеберда Олексій Григорович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",7.32,4616,2014,№26,Дніпропетровська область
Василенко Сергій Анатолійович ," Партія Сергія Тігіпка ""Сильна Україна""",4.94,3114,2014,№26,Дніпропетровська область
Григорук Олег Романович , самовисування,4.1,2589,2014,№26,Дніпропетровська область
Лаппо Ігор Миколайович , Радикальна Партія Олега Ляшка,3.47,2191,2014,№26,Дніпропетровська область
Ульянова Таміла Володимирівна ," Політична партія ""Воля""",2.73,1725,2014,№26,Дніпропетровська область
Афанасьєв Олександр Анатолійович ," Партія ""Громадська сила""",2.3,1455,2014,№26,Дніпропетровська область
Редька Олександр Олегович ," Політична партія ""Демократичний альянс""",1.67,1056,2014,№26,Дніпропетровська область
Литвиненко Сергій Михайлович ," Партія ""Справедливість""",1.31,827,2014,№26,Дніпропетровська область
Кучерук Сергій Миколайович ," Політична партія ""Національна Демократична партія України""",0.6,379,2014,№26,Дніпропетровська область
Філатов Борис Альбертович , самовисування,56.66,36166,2014,№27,Дніпропетровська область
Єпіфанцева Світлана Володимирівна , самовисування,18.52,11824,2014,№27,Дніпропетровська область
Пилипенко Анжеліка Анатоліївна , самовисування,6.51,4159,2014,№27,Дніпропетровська область
Кузнецов Руслан Володимирович , Комуністична партія України,6.48,4139,2014,№27,Дніпропетровська область
Лупандiн Олександр Олександрович , Радикальна Партія Олега Ляшка,6.18,3950,2014,№27,Дніпропетровська область
Стюпан Денис Володимирович , самовисування,2.86,1829,2014,№27,Дніпропетровська область
Варфоломєй Сергій Вікторович ," Політична партія ""Демократичний альянс""",2.75,1759,2014,№27,Дніпропетровська область
Куліченко Іван Іванович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",33.5,18864,2014,№28,Дніпропетровська область
Морозенко Євгеній Вадимович , самовисування,18.55,10448,2014,№28,Дніпропетровська область
Яцук Владислав Миколайович ," ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП""",9.11,5134,2014,№28,Дніпропетровська область
Козлов Юрій Романович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",7.44,4190,2014,№28,Дніпропетровська область
Коваленко Анатолій Миколайович , самовисування,7.01,3951,2014,№28,Дніпропетровська область
Колесніков Олексій Володимирович , Радикальна Партія Олега Ляшка,6.23,3510,2014,№28,Дніпропетровська область
Суханов Сергій Анатолійович ," Партія Сергія Тігіпка ""Сильна Україна""",5.27,2970,2014,№28,Дніпропетровська область
Збарська Катерина Юріївна ," Партія ""Громадська сила""",5.01,2822,2014,№28,Дніпропетровська область
Швачко Андрій Валерійович , Комуністична партія України,4.87,2744,2014,№28,Дніпропетровська область
Кожушко Микола Миколайович , самовисування,2.19,1238,2014,№28,Дніпропетровська область
Аббасов Заур Джаваншир огли , самовисування,0.77,438,2014,№28,Дніпропетровська область
Купрій Віталій Миколайович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",29.71,16688,2014,№29,Дніпропетровська область
Клименко Анатолій Володимирович ," Політична партія ""НАРОДНИЙ ФРОНТ""",18.27,10266,2014,№29,Дніпропетровська область
Швець Микола Антонович , самовисування,13.32,7484,2014,№29,Дніпропетровська область
Шинкевич Віктор Геннадійович ," Партія Сергія Тігіпка ""Сильна Україна""",10.63,5973,2014,№29,Дніпропетровська область
Бордовська Віра Семенівна , Комуністична партія України,7.81,4391,2014,№29,Дніпропетровська область
Дзоз Микола Оникійович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",6.73,3785,2014,№29,Дніпропетровська область
Москалець Михайло Миколайович , Радикальна Партія Олега Ляшка,4.72,2656,2014,№29,Дніпропетровська область
Москаленко Роман Анатолійович , самовисування,3.28,1843,2014,№29,Дніпропетровська область
Писаревський Костянтин Іванович , самовисування,3.19,1797,2014,№29,Дніпропетровська область
Прокудін Олександр Геннадійович ," Українська партія ""Зелена планета""",2.28,1283,2014,№29,Дніпропетровська область
Дубінін Олександр Іванович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",26.08,17887,2014,№30,Дніпропетровська область
Захорольський Олег Іванович , самовисування,25.99,17826,2014,№30,Дніпропетровська область
Гузенко Костянтин Олександрович , самовисування,15.95,10940,2014,№30,Дніпропетровська область
Залевський Олександр Юрійович , самовисування,7.0,4803,2014,№30,Дніпропетровська область
Ткаченко Сергій Іванович , Комуністична партія України,5.59,3838,2014,№30,Дніпропетровська область
Дегтярьов Юрій Володимирович ," Політична партія ""НАРОДНИЙ ФРОНТ""",5.46,3747,2014,№30,Дніпропетровська область
Бенько Світлана Георгіївна , самовисування,4.44,3051,2014,№30,Дніпропетровська область
Голосний Максим Ігоревич , самовисування,2.62,1801,2014,№30,Дніпропетровська область
Плахотнік Олександр Олегович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",2.31,1588,2014,№30,Дніпропетровська область
Зарваницький Юрій Богданович , Радикальна Партія Олега Ляшка,2.02,1386,2014,№30,Дніпропетровська область
Демошенко Сергій Валентинович , самовисування,2.0,1378,2014,№30,Дніпропетровська область
Коваленко Сергій Вікторович ," Політична партія ""НОВА ПОЛІТИКА""",0.47,324,2014,№30,Дніпропетровська область
Павлов Костянтин Юрійович , самовисування,33.36,28469,2014,№31,Дніпропетровська область
Олійник Віталій Миколайович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",26.33,22474,2014,№31,Дніпропетровська область
Караманіц Костянтин Федорович , самовисування,11.06,9445,2014,№31,Дніпропетровська область
Балабат Любов Миколаївна , Радикальна Партія Олега Ляшка,7.86,6711,2014,№31,Дніпропетровська область
Габріадзе Мерабі Рубенович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",5.79,4947,2014,№31,Дніпропетровська область
Вовк Юрій Маріянович , самовисування,4.96,4236,2014,№31,Дніпропетровська область
Штефан Владислав Олександрович , самовисування,3.96,3380,2014,№31,Дніпропетровська область
Штанько Сергій Миколайович , самовисування,3.93,3361,2014,№31,Дніпропетровська область
Шолошенко Віталій Вікторович ," ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ""",1.3,1112,2014,№31,Дніпропетровська область
Смирний Євген Володимирович , самовисування,0.79,680,2014,№31,Дніпропетровська область
Пирогов Дмитро Володимирович , самовисування,0.6,517,2014,№31,Дніпропетровська область
Гальченко Андрій Володимирович , самовисування,24.75,19936,2014,№32,Дніпропетровська область
Рубан Інна Іванівна ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",20.54,16546,2014,№32,Дніпропетровська область
Сова Світлана Миколаївна ," Політична партія ""НАРОДНИЙ ФРОНТ""",11.65,9385,2014,№32,Дніпропетровська область
Милобог Юрій Валерійович , самовисування,7.6,6128,2014,№32,Дніпропетровська область
Броєцький Олександр Анатолійович , Радикальна Партія Олега Ляшка,5.62,4528,2014,№32,Дніпропетровська область
Туровська Ірина Львівна , самовисування,5.45,4397,2014,№32,Дніпропетровська область
Біла Інеса Григорівна ," ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП""",5.29,4265,2014,№32,Дніпропетровська область
Шевчик Оксана Олександрівна , самовисування,4.32,3482,2014,№32,Дніпропетровська область
Решотка Сергій Павлович , самовисування,3.46,2794,2014,№32,Дніпропетровська область
Черствий Геннадій Борисович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",3.37,2718,2014,№32,Дніпропетровська область
Данелія Сілован Манучарович , самовисування,3.0,2421,2014,№32,Дніпропетровська область
Яковченко Іван Анатолійович , самовисування,2.53,2041,2014,№32,Дніпропетровська область
Романов Валерій Петрович , самовисування,2.36,1903,2014,№32,Дніпропетровська область
Усов Костянтин Глібович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",28.43,19649,2014,№33,Дніпропетровська область
Малачевський Олег Вікторович , самовисування,19.89,13747,2014,№33,Дніпропетровська область
Соколовський Володимир Петрович ," Політична партія ""НАРОДНИЙ ФРОНТ""",7.48,5170,2014,№33,Дніпропетровська область
Бобченко Юрій Вікторович , самовисування,7.13,4932,2014,№33,Дніпропетровська область
Колесник Микола Юрійович , самовисування,5.95,4113,2014,№33,Дніпропетровська область
