tvo;num_voters;num_stations;description;city_neighborhood
77;166727;90;Центр: місто Запоріжжя, Орджонікідзевський район;Орджонікідзевський, Хортицький райони в місті Запоріжжі
78;121040;64;Центр: місто Запоріжжя, Шевченківський район;Шевченківський район у місті Запоріжжі
79;160278;139;Центр: місто Бердянськ;Бердянський, Куйбишевський, Розівський, Чернігівський райони, місто Бердянськ
80;177625;153;Центр: місто Василівка;Василівський, Великобілозерський, Кам'янсько-Дніпровський, Оріхівський райони, місто Енергодар
81;165348;112;Центр: місто Мелітополь;Мелітопольський район, місто Мелітополь
82;165901;231;Центр: місто Токмак;Веселівський, Михайлівський, Приазовський, Приморський, Токмацький, Якимівський райони, місто Токмак
83;158174;172;Центр: місто Вільнянськ;Вільнянський, Гуляйпільський, Запорізький, Новомиколаївський, Пологівський райони
84;179461;108;Центр: місто Івано-Франківськ;місто Івано-Франківськ (з населеними пунктами Івано-Франківської міської ради)
85;150122;169;Центр: місто Тлумач;Городенківський, Тисменицький, Тлумацький райони
86;185761;237;Центр: місто Калуш;міста Бурштин, Калуш, Галицький, Калуський, Рогатинський райони
87;182841;169;Центр: місто Долина;Богородчанський, Долинський, Рожнятівський райони, місто Болехів (з населеними пунктами Болехівської міської ради)
88;124219;116;Центр: місто Надвірна;Верховинський, Надвірнянський райони, місто Яремче (з населеними пунктами Яремчанської міської ради)
89;126192;115;Центр: місто Коломия;Коломийський район, місто Коломия
90;120912;120;Центр: місто Снятин;Косівський, Снятинський райони
91;200253;155;Центр: місто Біла Церква;Білоцерківський район, місто Біла Церква
92;102836;114;Центр: місто Фастів;місто Фастів, Макарівський, Фастівський райони
93;121004;179;Центр: смт Володарка;Володарський, Сквирський, Ставищенський, Таращанський, Тетіївський райони
94;119807;161;Центр: місто Миронівка;місто Ржищів, Богуславський, Кагарлицький, Миронівський, Рокитнянський райони
95;150276;135;Центр: місто Обухів;міста Васильків, Обухів, Васильківський, Обухівський райони
96;222560;137;Центр: село Чайки, Києво-Святошинський район;міста Буча, Ірпінь, Києво-Святошинський район
97;136108;175;Центр: місто Іванків;Бородянський, Вишгородський, Іванківський, Поліський райони
98;204328;149;Центр: місто Бровари;міста Березань, Бровари, Славутич, Баришівський, Броварський райони
